Entity,Year,Country code,female suicide rate,male suicide rate
Afghanistan,2004,AFG,8.630155563,4.884803772
Albania,2004,ALB,6.060874939,9.330574036
Algeria,2004,DZA,4.600764751,5.145025253
Andorra,2004,AND,2.902797222,8.048293114
Angola,2004,AGO,8.143819809,21.47297668
Antigua and Barbuda,2004,ATG,,4.430495262
Argentina,1966,ARG,3.773803,12.20396
Argentina,1967,ARG,4.522207,15.55211
Argentina,1968,ARG,4.950262,16.78204
Argentina,1969,ARG,4.47279,16.7764
Argentina,1970,ARG,5.086274,16.04499
Argentina,1977,ARG,4.095239,11.71793
Argentina,1978,ARG,4.20104,11.94934
Argentina,1979,ARG,3.768375,10.19954
Argentina,1980,ARG,3.895963,11.59206
Argentina,1981,ARG,3.973988,12.98644
Argentina,1982,ARG,3.379611,11.06296
Argentina,1983,ARG,3.553246,9.592617
Argentina,1984,ARG,3.264729,10.37836
Argentina,1985,ARG,3.57422,10.73983
Argentina,1986,ARG,4.305565,12.03627
Argentina,1987,ARG,4.496664,11.58906
Argentina,1988,ARG,4.194231,11.82209
Argentina,1989,ARG,3.802261,11.35565
Argentina,1990,ARG,3.655709,10.51878
Argentina,1991,ARG,2.975335,9.852893
Argentina,1992,ARG,2.9983,11.32803
Argentina,1993,ARG,2.870972,11.57395
Argentina,1994,ARG,2.945701,11.19603
Argentina,1995,ARG,2.831591,10.77449
Argentina,1996,ARG,2.955786,10.63765
Argentina,1997,ARG,3.053083,10.30783
Argentina,1998,ARG,2.805949,10.91713
Argentina,1999,ARG,2.604184,11.39431
Argentina,2000,ARG,2.917899,12.92308
Argentina,2001,ARG,3.537312,14.0125
Argentina,2002,ARG,3.624188,13.75238
Argentina,2003,ARG,3.470717,14.32759
Argentina,2004,ARG,3.28949,13.3532
Armenia,2004,ARM,1.542518139,6.392276287
Australia,1950,AUS,4.559263,13.89218
Australia,1951,AUS,4.573612,14.318
Australia,1952,AUS,5.168044,15.99589
Australia,1953,AUS,5.885497,15.86971
Australia,1954,AUS,5.378865,16.23365
Australia,1955,AUS,5.318667,15.49302
Australia,1956,AUS,5.7286,16.03185
Australia,1957,AUS,6.757056,17.84965
Australia,1958,AUS,6.139689,19.05134
Australia,1959,AUS,5.798526,16.91927
Australia,1960,AUS,6.195316,15.61751
Australia,1961,AUS,6.841145,17.6378
Australia,1962,AUS,8.803148,19.69866
Australia,1963,AUS,10.87834,22.00281
Australia,1964,AUS,10.17107,20.24845
Australia,1965,AUS,11.19239,19.79254
Australia,1966,AUS,10.9659,18.46308
Australia,1967,AUS,11.42143,20.10027
Australia,1968,AUS,8.789992,17.81481
Australia,1969,AUS,8.080665,17.69678
Australia,1970,AUS,7.769779,18.06028
Australia,1971,AUS,9.616284,18.94889
Australia,1972,AUS,8.662896,17.58323
Australia,1973,AUS,7.727494,16.49461
Australia,1974,AUS,7.592533,16.73973
Australia,1975,AUS,7.196371,15.81281
Australia,1976,AUS,5.920273,16.26861
Australia,1977,AUS,6.31923,16.4062
Australia,1978,AUS,6.624237,16.04263
Australia,1979,AUS,6.605552,16.75487
Australia,1980,AUS,5.547964,16.48452
Australia,1981,AUS,5.491399,16.8945
Australia,1982,AUS,5.708966,17.21728
Australia,1983,AUS,5.029721,16.63548
Australia,1984,AUS,5.075873,16.99337
Australia,1985,AUS,5.098112,17.79891
Australia,1986,AUS,5.602667,19.13559
Australia,1987,AUS,5.035711,20.54657
Australia,1988,AUS,5.167239,19.85528
Australia,1989,AUS,4.624014,18.75663
Australia,1990,AUS,4.798937,19.78778
Australia,1991,AUS,5.228232,19.98861
Australia,1992,AUS,4.89091,19.48194
Australia,1993,AUS,4.123482,17.68173
Australia,1994,AUS,4.31111,19.90309
Australia,1995,AUS,4.759037,18.06133
Australia,1996,AUS,4.651205,20.42005
Australia,1997,AUS,5.565905,21.60116
Australia,1998,AUS,5.183353,21.56089
Australia,1999,AUS,4.872392,20.07539
Australia,2000,AUS,4.892426,18.68202
Australia,2001,AUS,4.904302,18.95002
Australia,2002,AUS,4.672353,17.50702
Australia,2003,AUS,4.357681,15.9637
Australia,2004,AUS,4.001978,15.45678
Austria,1955,AUT,13.03628,29.9986
Austria,1956,AUT,12.27382,29.41163
Austria,1957,AUT,12.48098,31.28951
Austria,1958,AUT,12.57883,30.85925
Austria,1959,AUT,12.87934,32.8964
Austria,1960,AUT,12.32755,30.00605
Austria,1961,AUT,11.31911,29.02644
Austria,1962,AUT,10.88243,30.66251
Austria,1963,AUT,11.50477,28.86131
Austria,1964,AUT,10.76881,31.15179
Austria,1965,AUT,11.91786,30.12741
Austria,1966,AUT,11.47748,31.14718
Austria,1967,AUT,10.59512,30.58935
Austria,1968,AUT,10.37276,30.88516
Austria,1969,AUT,11.80839,29.9316
Austria,1970,AUT,11.48161,34.50694
Austria,1971,AUT,11.95893,30.41938
Austria,1972,AUT,11.69622,32.07743
Austria,1973,AUT,10.86969,30.33344
Austria,1974,AUT,11.7306,32.44387
Austria,1975,AUT,11.20179,33.85298
Austria,1976,AUT,10.42361,31.4998
Austria,1977,AUT,12.14137,32.55373
Austria,1978,AUT,11.56861,34.55973
Austria,1979,AUT,11.96192,34.22878
Austria,1980,AUT,11.6723,35.08724
Austria,1981,AUT,12.16062,36.64823
Austria,1982,AUT,11.47526,38.58706
Austria,1983,AUT,12.00734,36.33307
Austria,1984,AUT,11.55282,36.24397
Austria,1985,AUT,12.29975,36.632
Austria,1986,AUT,12.68535,37.60686
Austria,1987,AUT,11.83288,35.30519
Austria,1988,AUT,10.14236,32.06349
Austria,1989,AUT,11.04587,31.599
Austria,1990,AUT,10.01155,30.09333
Austria,1991,AUT,8.896665,29.86096
Austria,1992,AUT,9.188734,29.15996
Austria,1993,AUT,8.58971,27.89434
Austria,1994,AUT,9.264556,28.66391
Austria,1995,AUT,8.037958,29.59781
Austria,1996,AUT,7.675908,29.11086
Austria,1997,AUT,7.532901,25.71262
Austria,1998,AUT,6.980475,25.55881
Austria,1999,AUT,7.582592,24.21744
Austria,2000,AUT,7.811996,25.11893
Austria,2001,AUT,7.079841,23.35394
Austria,2002,AUT,6.394913,25.14929
Austria,2003,AUT,6.941166,22.30559
Austria,2004,AUT,5.982184,22.4088
Azerbaijan,1981,AZE,3.826715,7.927753
Azerbaijan,1982,AZE,2.853445,7.157553
Azerbaijan,1985,AZE,2.51677,6.943275
Azerbaijan,1986,AZE,2.680833,6.119931
Azerbaijan,1987,AZE,2.909419,6.665195
Azerbaijan,1988,AZE,2.534463,5.681418
Azerbaijan,1989,AZE,2.491978,5.886524
Azerbaijan,1990,AZE,0.832518,3.321677
Azerbaijan,1991,AZE,1.008676,3.370187
Azerbaijan,1992,AZE,1.089356,3.772966
Azerbaijan,1993,AZE,1.028466,2.789392
Azerbaijan,1994,AZE,0.5496479,1.096277
Azerbaijan,1995,AZE,0.1800632,1.481606
Azerbaijan,1996,AZE,0.3849193,1.912715
Azerbaijan,1997,AZE,0.6182882,2.83542
Azerbaijan,1998,AZE,0.4200949,1.279725
Azerbaijan,1999,AZE,0.3348784,1.271021
Azerbaijan,2000,AZE,0.3883553,1.318945
Azerbaijan,2004,AZE,0.545843542,2.332625866
Bahamas,2004,BHS,1.609110832,5.236285686
Bahrain,1985,BHR,0.9027397,3.004878
Bahrain,1987,BHR,1.102464,3.165804
Bahrain,1988,BHR,0.6495454,3.908124
Bahrain,1999,BHR,0.9799417,2.682337
Bahrain,2000,BHR,0.3023646,5.668147
Bahrain,2001,BHR,0.9313131,4.347687
Bahrain,2004,BHR,0.739074409,6.751053333
Bangladesh,2004,BGD,14.39273071,14.80530262
Barbados,2004,BRB,0.706947982,5.563058376
Belarus,1981,BLR,7.598261,43.05365
Belarus,1982,BLR,7.861515,46.55949
Belarus,1985,BLR,7.038442,39.40578
Belarus,1986,BLR,6.212348,29.19821
Belarus,1987,BLR,7.177848,30.94182
Belarus,1988,BLR,6.634208,29.90354
Belarus,1989,BLR,7.002693,36.13258
Belarus,1990,BLR,6.732969,33.62659
Belarus,1991,BLR,6.723573,34.95369
Belarus,1992,BLR,7.351676,39.10175
Belarus,1993,BLR,8.073069,46.87016
Belarus,1994,BLR,8.660213,51.30384
Belarus,1995,BLR,7.978991,53.61209
Belarus,1997,BLR,8.894451,58.47642
Belarus,1998,BLR,8.242284,59.41307
Belarus,1999,BLR,8.470365,56.92015
Belarus,2000,BLR,7.625254,58.47842
Belarus,2001,BLR,7.420166,55.03092
Belarus,2002,BLR,7.895929,54.27013
Belarus,2003,BLR,8.071535,56.4411
Belarus,2004,BLR,8.473065376,57.22063446
Belgium,1954,BEL,5.845822,17.54742
Belgium,1955,BEL,5.675556,16.99986
Belgium,1956,BEL,6.93027,17.72301
Belgium,1957,BEL,6.829298,17.9598
Belgium,1958,BEL,6.465755,18.53559
Belgium,1959,BEL,5.952488,16.2762
Belgium,1960,BEL,6.432151,18.6682
Belgium,1961,BEL,6.508991,18.87755
Belgium,1962,BEL,6.070828,17.22317
Belgium,1963,BEL,7.051043,17.01497
Belgium,1964,BEL,6.545495,17.72499
Belgium,1965,BEL,7.809211,18.43109
Belgium,1966,BEL,7.103776,17.82164
Belgium,1967,BEL,7.427735,18.60177
Belgium,1968,BEL,8.124631,18.88451
Belgium,1969,BEL,7.336564,18.76591
Belgium,1970,BEL,9.104628,19.36163
Belgium,1971,BEL,7.747962,19.15955
Belgium,1972,BEL,8.350213,18.9058
Belgium,1973,BEL,7.426606,18.43134
Belgium,1974,BEL,8.438783,19.23102
Belgium,1975,BEL,9.46524,18.66548
Belgium,1976,BEL,9.491047,19.73664
Belgium,1977,BEL,11.14024,22.41677
Belgium,1978,BEL,11.76284,24.58786
Belgium,1979,BEL,12.22354,25.14716
Belgium,1980,BEL,13.27547,25.43906
Belgium,1981,BEL,12.13564,26.31382
Belgium,1982,BEL,11.46261,26.74868
Belgium,1983,BEL,13.17877,26.91315
Belgium,1984,BEL,12.49918,28.83404
